front,back
Hola,Hello
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
De nada,You're welcome
Sí,Yes
No,No
Disculpe,Excuse me
Lo siento,I'm sorry
Buenos días,Good morning
Buenas tardes,Good afternoon
Buenas noches,Good night
¿Cómo está usted?,How are you? (formal)
¿Cómo estás?,How are you? (informal)
Muy bien,Very well
¿Cómo se llama?,What's your name? (formal)
Me llamo...,My name is...
Mucho gusto,Nice to meet you
¿Habla inglés?,Do you speak English?
No hablo español,I don't speak Spanish
¿Puede ayudarme?,Can you help me?
¿Dónde está...?,Where is...?
¿Cuánto cuesta?,How much does it cost?
La cuenta por favor,The check please
¿Qué hora es?,What time is it?
No entiendo,I don't understand
Más despacio por favor,More slowly please
¿Puede repetir?,Can you repeat?
Agua,Water
Comida,Food
Casa,House
Trabajo,Work
Familia,Family
Amigo,Friend (male)
Amiga,Friend (female)
Dinero,Money
Tiempo,Time
Día,Day
Noche,Night
Mañana,Tomorrow/Morning
Ayer,Yesterday
Hoy,Today
Uno,One
Dos,Two
Tres,Three
Cuatro,Four
Cinco,Five
Seis,Six
Siete,Seven
Ocho,Eight
Nueve,Nine
Diez,Ten
