front,back
Hello,Bonjour
Goodbye,Au revoir
Please,S'il vous plaît
Thank you,Merci
Yes,Oui
No,Non
Excuse me,Excusez-moi
I'm sorry,Je suis désolé(e)
Good morning,Bonjour
Good evening,Bonsoir
How are you?,Comment allez-vous?
I'm fine,Ça va bien
What's your name?,Comment vous appelez-vous?
My name is...,Je m'appelle...
Nice to meet you,Enchanté(e)
Do you speak English?,Parlez-vous anglais?
I don't understand,Je ne comprends pas
Can you help me?,Pouvez-vous m'aider?
Where is...?,Où est...?
How much does it cost?,Combien ça coûte?
